Unique Code	Company Ticker	Company Name	Sector Name	Sector Type
01001	AGTL	Al-Ghazi Tractors Limited	AUTOMOBILE ASSEMBLER	NF
01002	ATLH	Atlas Honda Limited	AUTOMOBILE ASSEMBLER	NF
01003	DFML	Dewan Farooque Motors Limited	AUTOMOBILE ASSEMBLER	NF
01004	GAL	Ghandhara Automobiles Limited	AUTOMOBILE ASSEMBLER	NF
01005	GHNI	Ghandhara Industries Limited	AUTOMOBILE ASSEMBLER	NF
01006	HCAR	Honda Atlas Cars (Pakistan) Limited	AUTOMOBILE ASSEMBLER	NF
01007	HINO	Hinopak Motors Limited	AUTOMOBILE ASSEMBLER	NF
01008	INDU	Indus Motor Company Limited	AUTOMOBILE ASSEMBLER	NF
01009	MTL	Millat Tractors Limited	AUTOMOBILE ASSEMBLER	NF
01010	SAZEW	Sazgar Engineering Works Limited	AUTOMOBILE ASSEMBLER	NF
02001	AGIL	Agriauto Industries Limited	AUTOMOBILE PARTS & ACCESSORIES	NF
02002	ATBA	Atlas Battery Limited	AUTOMOBILE PARTS & ACCESSORIES	NF
02003	BELA	Bela Automotives Limited	AUTOMOBILE PARTS & ACCESSORIES	NF
02004	BWHL	Baluchistan Wheels Limited	AUTOMOBILE PARTS & ACCESSORIES	NF
02005	DWAE	Dewan Automotive Engineering Limited	AUTOMOBILE PARTS & ACCESSORIES	NF
02006	EXIDE	Exide Pakistan Limited	AUTOMOBILE PARTS & ACCESSORIES	NF
02007	GTYR	Ghandhara Tyre & Rubber Company Limited	AUTOMOBILE PARTS & ACCESSORIES	NF
02008	LOADS	Loads Limited	AUTOMOBILE PARTS & ACCESSORIES	NF
02009	PTL	Panther Tyres Ltd.	AUTOMOBILE PARTS & ACCESSORIES	NF
02010	TBL	Treet Battery Limited.	AUTOMOBILE PARTS & ACCESSORIES	NF
02011	THALL	Thal Limited	AUTOMOBILE PARTS & ACCESSORIES	NF
03001	EMCO	Emco Industries Limited	CABLE & ELECTRICAL GOODS	NF
03002	FCL	Fast Cables Limited	CABLE & ELECTRICAL GOODS	NF
03003	PAEL	Pak Elektron Limited	CABLE & ELECTRICAL GOODS	NF
03004	PCAL	Pakistan Cables Limited	CABLE & ELECTRICAL GOODS	NF
03005	SIEM	Siemens (Pakistan) Engineering	CABLE & ELECTRICAL GOODS	NF
03006	WAVES	Waves Corporation Limited	CABLE & ELECTRICAL GOODS	NF
03007	WAVESAPP	Waves Home Appliances Limited	CABLE & ELECTRICAL GOODS	NF
04001	ACPL	Attock Cement Pakistan Limited	CEMENT	NF
04002	BWCL	Bestway Cement Limited	CEMENT	NF
04003	CHCC	Cherat Cement Company Limited	CEMENT	NF
04004	DBCI	Dadabhoy Cement Industries Limited	CEMENT	NF
04005	DCL	Dewan Cement Limited	CEMENT	NF
04006	DGKC	D.G. Khan Cement Company Limited	CEMENT	NF
04007	DNCC	Dandot Cement Company Limited	CEMENT	NF
04008	FCCL	Fauji Cement Company Limited	CEMENT	NF
04009	FECTC	Fecto Cement Limited	CEMENT	NF
04010	FLYNG	Flying Cement Company Limited	CEMENT	NF
04011	GWLC	Gharibwal Cement Limited	CEMENT	NF
04012	KOHC	Kohat Cement Company Limited	CEMENT	NF
04013	LUCK	Lucky Cement Limited	CEMENT	NF
04014	MLCF	Maple Leaf Cement Factory Limited	CEMENT	NF
04015	PIOC	Pioneer Cement Limited	CEMENT	NF
04016	POWER	Power Cement Limited	CEMENT	NF
04017	SMCPL	Safe Mix Concrete Limited	CEMENT	NF
04018	THCCL	Thatta Cement Company Limited	CEMENT	NF
04019	ZELP	Zeal Pak Cement Factory Limited	CEMENT	NF
05001	ARPL	Archroma Pakistan Limited	CHEMICAL	NF
05002	BAPL	Bawany Air Products Limited	CHEMICAL	NF
05003	BERG	Berger Paints Pakistan Limited	CHEMICAL	NF
05004	BIFO	Biafo Industries Limited	CHEMICAL	NF
05005	BUXL	Buxly Paints Limited	CHEMICAL	NF
05006	DAAG	Data Agro Limited	CHEMICAL	NF
05007	DOL	Descon Oxychem Limited	CHEMICAL	NF
05008	DYNO	Dynea Pakistan Limited	CHEMICAL	NF
05009	EPCL	Engro Polymer & Chemicals Limited	CHEMICAL	NF
05010	GCIL	Ghani Chemical Industries Limited	CHEMICAL	NF
05011	GCWL	Ghani Chemworld Limited	CHEMICAL	NF
05012	GGL	Ghani Global Holdings Limited	CHEMICAL	NF
05013	ICL	Ittehad Chemicals Limted	CHEMICAL	NF
05014	LCI	Lucky Core Industries Limited	CHEMICAL	NF
05015	LOTCHEM	Lotte Chemical Pakistan Limited	CHEMICAL	NF
05016	LPGL	Leiner Pak Gelatine Limited	CHEMICAL	NF
05017	NICL	Nimir Industrial Chemicals Limited	CHEMICAL	NF
05018	NRSL	Nimir Resins Limited	CHEMICAL	NF
05019	PAKOXY	Pakistan Oxygen Limited	CHEMICAL	NF
05020	PPVC	Pakistan PVC Limited	CHEMICAL	NF
05021	SARC	Sardar Chemical Industries Limited	CHEMICAL	NF
05022	SHCI	Shaffi Chemical Industries Limited	CHEMICAL	NF
05023	SITC	Sitara Chemical Industries Limited	CHEMICAL	NF
05024	SPL	Sitara Peroxide Limited	CHEMICAL	NF
05025	WAHN	Wah Noble Chemicals Limited	CHEMICAL	NF
06001	HGFA	HBL Growth Fund	CLOSE - END MUTUAL FUND	FI
06002	HIFA	HBL Investment Fund	CLOSE - END MUTUAL FUND	FI
06003	INMF	Investec Mutual Fund Limited	CLOSE - END MUTUAL FUND	FI
06004	PUDF	Prudential Stocks Fund Limited	CLOSE - END MUTUAL FUND	FI
06005	TSMF	Tri-Star Mutual Fund Limited	CLOSE - END MUTUAL FUND	FI
07001	ABL	Allied Bank Limited	COMMERCIAL BANKS	FI
07002	AKBL	Askari Bank Limited	COMMERCIAL BANKS	FI
07003	BAFL	Bank Alfalah Limited	COMMERCIAL BANKS	FI
07004	BAHL	Bank AL Habib Limited	COMMERCIAL BANKS	FI
07005	BIPL	BankIslami Pakistan Limited	COMMERCIAL BANKS	FI
07006	BML	Bank Makramah Limited	COMMERCIAL BANKS	FI
07007	BOK	The Bank of Khyber	COMMERCIAL BANKS	FI
07008	BOP	The Bank of Punjab	COMMERCIAL BANKS	FI
07009	FABL	Faysal Bank Limited	COMMERCIAL BANKS	FI
07010	HBL	Habib Bank Limited	COMMERCIAL BANKS	FI
07011	HMB	Habib Metropolitan Bank Limited	COMMERCIAL BANKS	FI
07012	JSBL	JS Bank Limited	COMMERCIAL BANKS	FI
07013	MCB	MCB Bank Limited	COMMERCIAL BANKS	FI
07014	MEBL	Meezan Bank Limited	COMMERCIAL BANKS	FI
07015	NBP	National Bank of Pakistan	COMMERCIAL BANKS	FI
07016	SBL	Samba Bank Limited	COMMERCIAL BANKS	FI
07017	SCBPL	Standard Chartered Bank (Pak) Ltd	COMMERCIAL BANKS	FI
07018	SNBL	Soneri Bank Limited	COMMERCIAL BANKS	FI
07019	UBL	United Bank Limited	COMMERCIAL BANKS	FI
08001	AGHA	Agha Steel Ind.Ltd	ENGINEERING	NF
08002	ASL	Aisha Steel Mills Limited	ENGINEERING	NF
08003	ASTL	Amreli Steels Limited	ENGINEERING	NF
08004	BCL	Bolan Castings Limited	ENGINEERING	NF
08005	BECO	Beco Steel Limited	ENGINEERING	NF
08006	CSAP	Crescent Steel & Allied Products Limited	ENGINEERING	NF
08007	DADX	Dadex Eternit Limited	ENGINEERING	NF
08008	DSL	Dost Steels Limited	ENGINEERING	NF
08009	HSPI	Huffaz Seamless Pipe Industries Limited	ENGINEERING	NF
08010	INIL	International Industries Limited	ENGINEERING	NF
08011	ISL	International Steels Limited	ENGINEERING	NF
08012	ITTEFAQ	Ittefaq Iron Industries Limited	ENGINEERING	NF
08013	KSBP	KSB Pumps Company Limited	ENGINEERING	NF
08014	MSCL	Metropolitan Steel Corporation Limited	ENGINEERING	NF
08015	MUGHAL	Mughal Iron & Steel Industries Limited	ENGINEERING	NF
